,words,sentiment
267,begeleiden,[1]
268,begeleiding,[1]
269,begeven,[-1]
270,begrijpelijk,[1]
271,begrijpen,[-1]
272,begrip,[-1]
273,begroeten,[1]
274,begroeting,[1]
275,begunstigde,[1]
276,behagen,[1]
277,behangen,[-1]
278,beheersen,[1]
279,beheerst,[1]
280,behendig,[1]
281,behendigheid,[1]
282,behoeden,[-1]
283,behoeftige,[-1]
284,behoorlijk,[1]
285,behulpzaam,[1]
286,bekendmaken,[-1]
287,bekennen,[-1]
288,bekentenis,[-1]
289,bekentenissen,[-1]
290,beklag,[-1]
291,beklagen,[-1]
292,beklemtonen,[-1]
293,bekomen,[1]
294,bekritiseerd,[-1]
295,bekritiseren,[-1]
296,bekrompen,[-1]
297,bekroond,[1]
298,bekwaam,[1]
299,bekwaamheid,[1]
300,belachelijk,[-1]
301,beladen,[-1]
302,belang,[1]
303,belangeloos,[-1]
304,belangen,[1]
305,belangrijk,[1]
306,belangstelling,[-1]
307,belangwekkend,[1]
308,belasten,[-1]
309,beledigen,[-1]
310,beledigend,[-1]
311,belediging,[-1]
312,beledigingen,[-1]
313,beleefd,[1]
314,beleefdheid,[1]
315,beleg,[-1]
316,belegeren,[-1]
317,belegering,[-1]
318,belemmerd,[-1]
319,belemmeren,[-1]
320,belemmering,[-1]
321,belezen,[1]
322,belichten,[1]
323,belijden,[-1]
324,belofte,[1]
325,belonen,[1]
326,beloning,[1]
327,beloofd,[1]
328,belooft,[1]
329,beloven,[1]
330,bemind,[1]
331,beminde,[1]
332,bemoeien,[-1]
333,benadrukken,[1]
334,benadrukt,[-1]
335,benauwd,[-1]
336,bendelid,[-1]
337,bent,[-1]
338,beperken,[-1]
339,beperking,[-1]
340,beperkingen,[-1]
341,beperkt,[-1]
342,bepleit,[1]
343,bepleiten,[1]
344,beproeving,[-1]
345,beramen,[-1]
346,bereid,[1]
347,bereikbaar,[1]
348,bereiken,[1]
349,bergafwaarts,[-1]
350,berisping,[-1]
351,beroemd,[1]
352,beroep,[1]
353,beroerd,[-1]
354,beroering,[-1]
355,beroofd,[-1]
356,berooid,[-1]
357,berouw,[-1]
358,beroving,[-1]
359,berucht,[-1]
360,beruchte,[-1]
361,beschaamd,[-1]
362,beschadigd,[-1]
363,beschadigen,[-1]
364,beschaving,[1]
365,bescheiden,[1]
366,bescheidenheid,[1]
367,beschermen,[1]
368,beschermend,[1]
369,bescherming,[1]
370,beschikbaar,[1]
371,beschouwen,[1]
372,beschuldigen,[-1]
373,beschuldiging,[-1]
374,beschuldigingen,[-1]
375,beschuldigt,[-1]
376,beseffen,[1]
377,beslissend,[1]
378,besmet,[-1]
379,besmettelijk,[-1]
380,besmetten,[-1]
381,besmetting,[-1]
382,besparen,[1]
383,bespelen,[1]
384,bespot,[-1]
385,bespotten,[-1]
386,best,[1]
387,bestoken,[-1]
388,bestraffen,[-1]
389,betekenisloos,[-1]
390,beter,[1]
391,beteren,[1]
392,betoverd,[1]
393,betoverde,[1]
394,betovering,[1]
395,betrappen,[-1]
396,betreffen,[-1]
397,betrekken,[-1]
398,betreurde,[-1]
399,betreuren,[-1]
400,betrokken,[-1]
401,betrouwbaar,[1]
402,betrouwbaarheid,[1]
403,better,[1]
404,betwijfelen,[-1]
405,betwist,[-1]
406,betwiste,[-1]
407,betwisten,[-1]
408,beuken,[-1]
409,beurs,[1]
410,bevaarbaar,[1]
411,bevallen,[1]
412,beveiligen,[1]
413,beven,[-1]
414,bevestigd,[1]
415,bevestigen,[1]
416,bevestigend,[1]
417,bevestiging,[1]
418,bevoegd,[1]
419,bevoordelen,[1]
420,bevorderen,[1]
421,bevredigen,[1]
422,bevredigend,[1]
423,bevredigende,[1]
424,bevrediging,[1]
425,bevreesd,[-1]
426,bevriend,[1]
427,bevriende,[1]
428,bevriest,[-1]
429,bevriezen,[-1]
430,bevriezing,[-1]
431,bevrijd,[1]
432,bevrijden,[1]
433,bevrijding,[1]
434,bevroren,[-1]
435,bewapend,[-1]
436,beweeglijk,[1]
437,beweren,[-1]
438,bewering,[-1]
439,bewerkstelligen,[1]
440,bewerkt,[-1]
441,bewezen,[1]
442,bewijs,[1]
443,bewijst,[1]
444,bewijzen,[1]
445,bewonderaar,[1]
446,bewonderen,[1]
447,bewondering,[1]
448,bewusteloos,[-1]
449,bezeten,[-1]
450,bezit,[-1]
451,bezorgd,[-1]
452,bezorgdheid,[-1]
453,bezwaar,[-1]
454,bezwaarlijk,[-1]
455,bezwaren,[-1]
456,bezweren,[1]
457,bezwering,[1]
458,bezwijken,[-1]
459,beëindigen,[-1]
460,beïnvloeden,[-1]
461,bias,[-1]
462,biecht,[-1]
463,bieden,[1]
464,biggen,[-1]
465,bijdrage,[1]
466,bijdragen,[1]
467,bijgeloof,[-1]
468,bijl,[-1]
469,bijstand,[1]
470,bijten,[-1]
471,bijtend,[-1]
472,bijval,[1]
473,bijzonder,[1]
474,billen,[-1]
475,binnendringen,[-1]
476,binnengedrongen,[-1]
477,binnenvallen,[-1]
478,bits,[-1]
479,bitter,[-1]
480,bitterheid,[-1]
481,bizar,[-1]
482,bizarre,[-1]
483,blaffen,[1]
484,blank,[1]
485,blauw,[-1]
486,blazen,[-1]
487,bleef,[-1]
488,blij,[1]
489,blijde,[1]
490,blijdschap,[1]
491,blijft,[-1]
492,blind,[-1]
493,blinken,[1]
494,blinkt,[1]
495,blockbuster,[1]
496,bloedbad,[-1]
497,bloedbaden,[-1]
498,bloeden,[-1]
499,bloederige,[-1]
500,bloedig,[-1]
501,bloeding,[-1]
502,bloedvergieten,[-1]
503,bloei,[1]
504,bloeien,[1]
505,bloeiend,[1]
506,bloeiende,[1]
507,bloeitijd,[1]
508,bloem,[1]
509,bloesem,[1]
510,blokkeren,[-1]
511,blow,[-1]
512,blunder,[-1]
